LETTER ANALYSIS 

Letter               Freq                 Freq%                AvgFreq%             Diff                 
A                    1                    0.7                  8.2                  -7.5                 
B                    1                    0.7                  1.5                  -0.8                 
C                    1                    0.7                  2.8                  -2.1                 
D                    1                    0.7                  4.3                  -3.6                 
E                    1                    0.7                  12.7                 -12.0                
F                    1                    0.7                  2.2                  -1.5                 
G                    1                    0.7                  2.0                  -1.3                 
H                    1                    0.7                  6.1                  -5.4                 
I                    1                    0.7                  7.0                  -6.3                 
J                    1                    0.7                  0.2                  0.5                  
K                    1                    0.7                  0.8                  -0.1                 
L                    1                    0.7                  4.0                  -3.3                 
M                    1                    0.7                  2.4                  -1.7                 
N                    1                    0.7                  6.7                  -6.0                 
O                    1                    0.7                  7.5                  -6.8                 
P                    1                    0.7                  1.9                  -1.2                 
Q                    1                    0.7                  0.1                  0.6                  
R                    1                    0.7                  6.0                  -5.3                 
S                    1                    0.7                  6.3                  -5.6                 
T                    1                    0.7                  9.1                  -8.4                 
U                    1                    0.7                  2.8                  -2.1                 
V                    1                    0.7                  1.0                  -0.3                 
W                    1                    0.7                  2.4                  -1.7                 
X                    1                    0.7                  0.2                  0.5                  
Y                    1                    0.7                  2.0                  -1.3                 
Z                    1                    0.7                  0.1                  0.6                  

The most frequent letter is 'A' at 1.0%
