LETTER ANALYSIS 

Letter               Freq                 Freq%                AvgFreq%             Diff                 
A                    0                    0.0                  8.2                  -8.2                 
B                    12                   2.0                  1.5                  0.5                  
C                    0                    0.0                  2.8                  -2.8                 
D                    5                    0.9                  4.3                  -3.4                 
E                    15                   2.6                  12.7                 -10.1                
F                    7                    1.2                  2.2                  -1.0                 
G                    12                   2.0                  2.0                  0.0                  
H                    14                   2.4                  6.1                  -3.7                 
I                    10                   1.7                  7.0                  -5.3                 
J                    37                   6.3                  0.2                  6.1                  
K                    38                   6.5                  0.8                  5.7                  
L                    28                   4.8                  4.0                  0.8                  
M                    0                    0.0                  2.4                  -2.4                 
N                    9                    1.5                  6.7                  -5.2                 
O                    24                   4.1                  7.5                  -3.4                 
P                    25                   4.3                  1.9                  2.4                  
Q                    20                   3.4                  0.1                  3.3                  
R                    73                   12.4                 6.0                  6.4                  
S                    18                   3.1                  6.3                  -3.2                 
T                    45                   7.7                  9.1                  -1.4                 
U                    2                    0.3                  2.8                  -2.5                 
V                    1                    0.2                  1.0                  -0.8                 
W                    19                   3.2                  2.4                  0.8                  
X                    17                   2.9                  0.2                  2.7                  
Y                    5                    0.9                  2.0                  -1.1                 
Z                    4                    0.7                  0.1                  0.6                  

The most frequent letter is 'R' at 73.0%
